DateG,DateH,Day,City,Holiday Name,Type of Public Holiday,School,Cloudy,Widespread Dust,Blowing Dust,Fog,Mist,Rain,Comments,Match,Event,Effect on City,Link Source,Pay Day,days till next payday,days after payday,days after school,days before school,Semesters
21/02/2024,11/8/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,7,8,39,1,
22/02/2024,12/8/1445,Thursday,Riyadh,Founding Day,Founding Day is a national holiday in Saudi Arabia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,6,7,"Vacation	",Vacation,
23/02/2024,13/08/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,5,6,"Vacation	",Vacation,
24/02/2024,14/08/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,4,5,"Vacation	",Vacation,
25/02/2024,15/08/1445,Sunday,Riyadh,No Holiday,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,La liga,FALSE,FALSE,FALSE,FALSE,3,4,"Vacation	",Vacation,
26/02/2024,16/08/1445,Monday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,2,3,"Vacation	",Vacation,
27/02/2024,17/08/1445,Tuesday,Riyadh,No Holiday,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,31,2,"Vacation	",Vacation,
28/02/2024,18/08/1445,Wednesday,Riyadh,No Holiday,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,30,1,"Vacation	",Vacation,
29/02/2024,19/08/1445,Thursday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,29,0,"Vacation	",Vacation,
01/03/2024,20/08/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Al Ittihad vs Al Nassr,KSA League,FALSE,FALSE,FALSE,FALSE,28,30,"Vacation	",Vacation,
02/03/2024,21/08/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,27,29,"Vacation	",Vacation,
03/03/2024,22/08/1445,Sunday,Riyadh,No Holiday,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Manchester City FC vs Manchester United FC,Preimer League,FALSE,FALSE,FALSE,FALSE,26,28,1,99,3 - 1445
04/03/2024,23/08/1445,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,25,27,2,98,
05/03/2024,24/08/1445,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Al Ittihad vs Al Nassr,"UEFA CL, KSA League",FALSE,FALSE,FALSE,FALSE,24,26,3,97,
06/03/2024,25/08/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,UEFA CL,FALSE,FALSE,FALSE,FALSE,23,25,4,96,
07/03/2024,26/08/1445,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,22,24,5,95,
08/03/2024,27/08/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,21,23,6,94,
